data,descricao,categoria,valor,tipo
2024-01-15,Supermercado XYZ,Alimentação,-350.50,débito
2024-01-16,Salário,Receita,5000.00,crédito
2024-01-18,Conta de Luz,Utilidades,-180.00,débito
2024-01-20,Restaurante ABC,Alimentação,-120.00,débito
2024-01-22,Farmácia,Saúde,-85.30,débito
2024-01-25,Aplicação CDB,Investimento,-1000.00,transferência
2024-01-28,Netflix,Entretenimento,-45.90,débito
2024-02-01,Aluguel,Moradia,-1500.00,débito
2024-02-05,Freelance,Receita,800.00,crédito
2024-02-10,Academia,Saúde,-150.00,débito
